State,Total Deaths,% Under 21
Alabama,"2,208",3.90%
Alaska,433,3.90%
Arizona,"3,670",2.80%
Arkansas,"1,407",3.60%
California,"15,443",2.50%
Colorado,"2,623",2.80%
Connecticut,"1,426",2.20%
Delaware,466,2.80%
District of Columbia,392,3.30%
Florida,"10,655",2.30%
Georgia,"3,953",3.70%
Hawaii,526,2.30%
Idaho,732,3.00%
Illinois,"5,151",3.50%
Indiana,"2,960",3.40%
Iowa,"1,305",2.50%
Kansas,"1,146",3.10%
Kentucky,"2,206",2.70%
Louisiana,"2,278",4.10%
Maine,714,1.70%
Maryland,"2,482",3.20%
Massachusetts,"2,760",1.90%
Michigan,"4,548",2.60%
Minnesota,"2,082",2.30%
Mississippi,"1,372",3.90%
Missouri,"2,877",3.70%
Montana,605,2.80%
Nebraska,720,3.10%
Nevada,"1,548",2.40%
New Hampshire,661,1.70%
New Jersey,"3,008",2.20%
New Mexico,"1,581",2.60%
New York,"6,701",2.00%
North Carolina,"4,452",3.10%
North Dakota,347,2.60%
Ohio,"5,739",2.60%
Oklahoma,"2,104",2.80%
Oregon,"2,186",2.00%
Pennsylvania,"5,703",2.70%
Rhode Island,493,1.40%
South Carolina,"2,586",3.20%
South Dakota,463,3.90%
Tennessee,"3,359",2.90%
Texas,"10,647",4.00%
Utah,903,3.80%
Vermont,332,1.50%
Virginia,"3,071",3.10%
Washington,"3,184",1.80%
West Virginia,"1,037",2.00%
Wisconsin,"2,651",2.30%
Wyoming,347,2.60%
