city	country	description	location	state	state_abbrev	longitude	latitude	city_longitude	city_latitude	Audio_Evidence	Visual_Evidence	Haunted_Places_Date
Ada	United States	ada witch sometimes see misty blue figure floating within 3-mile radius ada cemetery 2 mile egypt valley honey creek . story origin follows man suspected wife affair followed late one night thought asleep . sure enough went field near property met lover . husband enraged killed wife resulted struggle man . men died injuries . said late night especially night nights preceding full moon people driving field see ghost searching lover . people reported stopping try communicate always disappears runs woods followed due thick brambles inhabit area . said dress long white gown authorities say dates turn 20th century . usually seen alone sometimes witnesses report seeing ghostly death scene re-enacted . . . others report seeing nothing hearing killer 's shouts rage followed victims screams agony . . . although said haunts field honeycreek road died witnesses reported nearby seidman park nearby findlay cemetery supposedly buried . story actually featured book `` ghosts grand rapids. ``	Ada Cemetery	Michigan	MI	-85.50489309999999	42.9621061	-85.4954803	42.960727	True	True	[datetime.datetime(2025, 1, 2, 0, 0), datetime.datetime(2025, 1, 1, 0, 0), datetime.datetime(2025, 1, 20, 0, 0), datetime.datetime(2025, 1, 3, 0, 0)]
Addison	United States	little girl killed suddenly waiting school bus speeding car . since death things happened . day funeral started knocking doors house born . 1 month later clothes removed doors home flew open reason . cold spots felt knocking door still present day home . also swings yard could see swing real high someone swinging . lights like go home move things let someone know . cemetery child lies alot activity also . visit grave twirly start going around round reason wind blowing let know present . said spotted walking cemetery restless n't realize passed .	North Adams Rd.	Michigan	MI	-84.3818434	41.9714248	-84.3471684	41.986434	False	True	[datetime.datetime(2025, 1, 1, 0, 0)]
Adrian	United States	take gorman rd . west towards sand creek come gravel road leading north . mile road come narrow one lane trestle bridge . road goes . legend one time farm house built near tracks . late one night fire broke barn . father ran barn try get horses wife young son went tracks wave one many trains would use right way . close tracks however struck train went past . father killed barn . go late night sometimes communicate father . allow talk wife son protecting . people living area large streetlight placed people neighboring land . stay long call police . however make visit short enough usually leave . place also described good place go contact spirits . father asked help matter . allow antagonistic spirits talk however protect family .	Ghost Trestle	Michigan	MI	-84.03565619999999	41.904538	-84.03716589999999	41.8975471	False	False	[datetime.datetime(2025, 1, 1, 0, 0)]
Adrian	United States	1970 's one room room 211 old section dorms exhibited several phenomena . n't know still continues today . door room hallway well door bathroom would open shut main door even locked . closing would locked . also spot one wall wall room shared boarded longer used laundry shaft two points light would appear shaped similar eyes . attempts made explain appearance visible time dark room . screened windows see might reflections n't . objects placed windows actually became brighter . we tried painting walls putting several coats paint thinking may joke previous resident made glow dark paint also used sandpaper wall spot first painting . still appeared bright ever painting . we tried covering hanging picture picture kept falling moving . last attempt hang picture drawing piece paper simply taped wall resulted us waking next morning find taped ceiling bed . we finally moved tall dresser front seemed take care . reports later residents told us placed mirror rocker room . one night party several witnesses rocker began rocking flew back smashed mirror . contact school since graduation n't know things still happen .	Siena Heights University	Michigan	MI	-84.0175653	41.9057124	-84.03716589999999	41.8975471	False	True	[datetime.datetime(2025, 5, 1, 0, 0)]
Albion	United States	kappa delta sorority kappa delta sorority haunted entity simply known p . said sister died car accident . current sisters reported hearing giggling running around coming upstairs floor basement . one time sister called `` p '' received `` hello '' reply .	Albion College	Michigan	MI	-84.7451775	42.2440064	-84.7530304	42.243097	True	False	[datetime.datetime(2025, 1, 1, 0, 0)]
Albion	United States	mysterious lady white spotted cemetery .	Riverside Cemetery	Michigan	MI	-84.7530555	42.2368139	-84.7530304	42.243097	False	True	[datetime.datetime(2025, 1, 1, 0, 0)]
Algoma Township	United States	winding dirt road next rogue river called friske small turn-around particular reason . turn-around trail leads ways woods . follow trail leads old iron bridge called hell 's bridge . said sitting standing bridge midnight hear devil laughing . reason 1800 's algoma n't really exist rockford known laphamville man named elias friske murdered several children claimed demon made . later bodies found part river bridge . sometimes also hear children crying r noise splashing water bodies thrown . fishermen early morning reported seeing strange figure near bridge . . .	Hell's Bridge	Michigan	MI	-85.62292959999999	43.1492928	-85.62292959999999	43.1492928	True	True	[datetime.datetime(1800, 1, 1, 0, 0)]
Algonac	United States	morrow road haunted road algonac michigan near harsens island . 1800 's woman lost child road still looking today . night people see strange glowing orbs floating road woods . see lady walking side road 1800 's dress covered blood . still others reported seeing hanging tree noose . road popular show unsolved mysteries well several local news channels . movie made road . story behind road woman went middle night find toddler somehow got alone winter froze death fact park bridge midnight honk horn three times appear see baby . also said wearing white blood covered gown carrying dead baby . also green light chase people away . www . morrowroad . com	Morrow Road	Michigan	MI	-82.5762902	42.6529969	-82.531018	42.6183675	False	True	[datetime.datetime(1800, 1, 1, 0, 0)]
Allegan	United States	people report hearing footsteps doors slamming doors small child 's voice say `` mama ''	Elks Lodge	Michigan	MI	-85.84159919999999	42.520552	-85.8553031	42.5291989	True	False	[datetime.datetime(2025, 1, 1, 0, 0)]
Allegan	United States	various ghostly activities . news coverage hauntings every year around halloween time local channels .	The Grill House and the Rock Bottom Bar	Michigan	MI	-85.8575642	42.4977621	-85.8553031	42.5291989	False	False	[datetime.datetime(2025, 1, 1, 0, 0)]
