text,location,latitude,longitude
"Ada Cemetery is known for: Ada witch - Sometimes you can see a misty blue figure floating within a 3-mile radius of the Ada Cemetery on 2 Mile between Egypt Valley and Honey Creek. The story of her origin is as follows: A man suspected his wife of having an affair, so he followed her late one night when she thought he was asleep. Sure enough, she went to a field near their property where she met her lover. The husband was enraged and killed his wife, which resulted in a struggle with the other man. Both men died from their injuries. It is said that late at night (especially during the night of and the nights preceding a full moon) people driving by the field can see her ghost, searching for her lover. Some people have reported stopping to try to communicate with her, but she always disappears or runs into the woods where she cannot be followed (due to the thick brambles that inhabit the area). She is said to dress in a long white gown which authorities say dates her to the turn of the 20th century. Usually she is seen alone, but sometimes witnesses report seeing a ghostly death scene re-enacted... Others report seeing nothing at all but hearing the killer's shouts of rage followed by the victims' screams of agony... Although it is said she haunts the field on Honeycreek Road where she died, other witnesses have reported her in nearby Seidman Park, and in nearby Findlay Cemetery, where she is supposedly buried. This story was actually featured in the book ""Ghosts of Grand Rapids.""",Honey Creek,43.3390542,-89.9157214
"Ghost Trestle is known for: If you take Gorman Rd. west towards Sand Creek, you will come to a gravel road leading north. A mile or so up this road you will come to narrow one lane trestle bridge. The road goes under this. Legend has it that at one time there was a farm house built near the tracks. Late one night a fire broke out in the barn. While the father ran to the barn to try to get the horses out, his wife and young son went to the tracks to wave down one of the many trains that would use that right of way. They were too close to the tracks however and both were struck by the train as it went past. The father was killed in the barn. Now if you go out there late at night, you can sometimes communicate with the Father. He will not allow you to talk to his wife or son; as if he was protecting them . There are other people living in the area now, and a large streetlight has been placed there by the people who own the neighboring land. If you stay there to long, they will call the police. However if you make your visit short enough they will usually leave you to it. This place has also been described as a good place to go to contact other spirits. The Father can be asked to help in this matter. He will not allow antagonistic spirits to talk however; once again to protect his family.",Sand Creek,45.1724562,-91.7274823
"Hell's Bridge is known for: On a winding dirt road next to the Rogue River called Friske, there is a small turn-around for no particular reason. On this turn-around, there is a trail that leads off a ways into the woods. If you follow the trail, it leads to an old iron bridge called Hell's Bridge. It is said that if you are sitting or standing on the bridge at midnight you can hear the devil laughing. The reason is, in the 1800's, when Algoma didn't really exist and Rockford was known as Laphamville, a man named Elias Friske murdered several children and claimed a demon made him do it. Later the bodies were found in the part of the river where the bridge is now. Sometimes you can also hear the children crying, @r the noise of splashing water where their bodies were thrown. Some fishermen in the early morning have reported seeing a strange figure near the bridge...",Rockford,42.2713945,-89.093966
"Morrow Road is known for: Morrow Road is a Haunted road in Algonac Michigan near Harsens Island. In the 1800's a woman lost here child on that road and is still looking for her today. At night people see strange glowing orbs floating down the road and through the woods. Some see the lady walking by the side of the road in an 1800's dress covered in blood. Still others have reported seeing her hanging from a tree by a noose. The road has been on the popular show Unsolved Mysteries as well as several local news channels. Now there is a movie being made about the road. the story behind the road is a woman went out in the middle of the night to find her toddler that had somehow got out alone in the winter they both froze to death, it is a fact that if you park on the bridge at midnight and honk your horn three times she will appear and see if you have her baby. She is also said to be wearing a white blood covered gown carrying her dead baby. Also a green light will chase people away.-  www.morrowroad.com",Michigan,43.6211955,-84.6824346
Mercywood Hospital is known for: Mercywood was a mental hospital before closing down. security guards heard the elevators moving when the building was empty. Sounds would come from the boiler room. In the basement were personal belongings of the inmates. There was also a bowling alley and bumper pool tables in the basement. There were insane rambling written on the walls in some of the rooms. Behind the hospital there was a convent where the nuns lived that worked in the hospital and even to go in there was a very uneasy feeling. It is like you can feel the insanity that surrounded the place. Also an evil feeling. They have since torn down the old hospital but something has been built there recently. It is on Jackson Ave. in Ann Arbor a little way down from the cemetery next to I-94 on the right side if you are going west.,Ann Arbor,42.2813722,-83.7484616
94 &amp; Denton Rd. is known for: Go down Denton Rd. at midnight and stop when you see the old road at the bottom of the hill on Denton Rd. (Unknown name of road but it's by the old cemetery) stop turn off all lights and get out of your car wait about 1-10 min. and you will see a glow float down the old road at the bottom of the hill.,Denton Rd,51.4762461,0.118062
"Berville Rd. is known for: An abandoned farm house located 2 miles north of Berville where a very ill 12 year old boy had died in his sleep. Drive past this house at around 1 A.M. when it is said the boy died and you may catch a glimpse of lights flickering in the windows. Inside you can hear a faint whispering, footsteps upstairs, and things will move in the house including doors being opened that were closed. enter the boys bedroom at the end of the upstairs hall and experience an overwhelming cold chill and sudden sad emotions at times.",Berville Rd,42.9568014,-82.8860798
Ponderosa is known for: Voices are heard often.  Shadows of people walking. The sound of high heels down the hallway in the back.  A woman in dark clothing wearing white nylons and black heels.  Things have been reported to fall for no reason.,Ponderosa,36.1055013,-118.5281434
"Adams house is known for: House built in 1920. Originally inhabited by Margaret parks who owned Parks Cole Company in downtown Birmingham around the same period. Countless paranormal experiences in the home. For example: lights turning on and off by themselves, curtains opening as if someone where looking out{nobody being home that is). , cold spots , ghostly apparitions both male and female, items vanishing and reappearing ( items of small size ), a strand of bells ringing in early morning hours. This is only to name a few. Also witnessed by many people. Home at a later date became the Michigan metaphysical society.",Birmingham,52.4796992,-1.9026911
"Trowbridge Road is known for: A side street north of 16 mile on Woodward holds a very creepy place called Trowbridge. It is a very rich area an local kids that were depressed would jump off the bridge which was a 100 ft. drop to there death, one instance on a Sunday from 8p.m until 12 midnight every half hour on the hour a kid would commit suicide until midnight when the train came an dismembered there corpses. The kids would spray paint there names or something to be remembered by on the wall. It is on a street called Trowbridge, very creepy street with huge houses take it down half a mile an on the left hand side before the street ends is the bridge. Go at your own risk because the place has been known to have many freaky occurrences an not to mention a monks monastery about a mile down the road. - October 2003 Update: The Police DO issue trespassing tickets for $250.00 because the train bridge and tracks are federal property and by being on it you are trespassing on federal property. - February 2004 Update: Police patrol there quite frequently and the neighbor across the street won't hesitate to call them.",Trowbridge,51.3161455,-2.2024323
Brighton Women's correctional institute is known for: before the death sentence was revoked in Michigan hundreds of inmates died in the prison. Rumors of ghost hitchhikers are known to be on the road leading to the prison. These are the souls of inmates executed while attempting escape.,Michigan,43.6211955,-84.6824346
"Point Iroquois Lighthouse is known for: Point Iroquois Lighthouse, outside of Brimley is said to be haunted, there is a story about a ghost girl who was eaten by a bear, the bear was later killed and parts of the girl where discovered inside. The site is also the location of an Indian battle, which took place in the 1600's, where the Ojibwe and Iroquois had a battle, and the Iroquois's where slaughtered. The lighthouse has had cold spots and figures have been seen.",Brimley,46.4052986,-84.5722724
Dawnshire Park is known for: Back in the early 90's there was a rumor heard of a man with a ax walking around in the woods and every time a kid from the neighborhood walked into the woods they would see him for a split second but then the face disappeared it was said that someone actually got it on video tape but now you only see it during a full moon you can see an extra shadow walking besides you with a man and a axe.,Dawnshire Park,35.2778024,-80.8579102
Oak ridge cemetery on Telegraph is known for: Rumors of a little boy and a tall man are said to haunt oak ridge anytime from about 9:00pm to 3:00 am.,Oak ridge,36.0103562,-84.2696449
"Chesaning Market Street Square (a mini mall with indoor shops) is known for: Store merchandise has been found moved when stores are opened in the morning. Employees hair pulled, employee shoved, voices can be heard at night. A Santa decoration was seen by 3 eye witnesses as it lifted from a table and was sat down on the floor outside a store. Transparent images of a woman and man seen separately over periods of time. Numerous unexplainable events occurring since mall opened in 1985. Unknown before this date. A smallpox outbreak in 1837 devastated some of the last remaining Indians in this area before the village of Chesaning was started.",Santa,-8.9565931,-78.2678528
"Shoefelt Rd is known for: They say that if you go to the end of Shoefelt road at about midnight on Friday nights you will here an old hunter shooting his gun off, because the old man used to hunt out there a lot and then he died and he doesn't like it when people hunt or have fun on his hunting spot so he will scare you off by shooting his gun and than walking around by your car hollering.",Shoefelt Rd,43.0360925,-82.5696941
"Seven Gables is known for: Along time ago, there was a lady who lived 2 miles back on Seven Gables Road. She was involved in witchcraft, and she put a curse on Seven Gables road. IF you heard someone scream, The last person to jump over the fence would die. a few years later, she forgot all about the curse, and she heard a baby scream, then she jumped over the fence and 2 months later she was dead. 25 years after, a man, his wife and his 2 kids, moved into that same house, The man went Mentally insane, burned down the house with his family inside, grabbed a shot gun, when down the road planning to shoot himself in the head. Instead he found a rope on a tree and hung himself. Now they say that the witch haunts seven gables, she doesn't want anyone there, Every person that has attempted to go to seven gables have taken Williamston road and either died by a car accident or almost died. No one know why. Trust me we know.",Williamston,35.8546039,-77.0555114
"Divine Child High School is known for: Several years ago, when a new gym addition to the school was being built, a construction worker fell from a scaffolding and died from head injuries. Many people say that the new gym in the school is haunted and see his ghost up on the catwalk at night. If you walk down the halls of DC by yourself you always feel like something is watching you, or following you, usually due to the footstep noises. It has been said that at night, in the empty halls, if you get in the school and walk around some of the rooms are lit up and the janitor equipment will be standing outside some of the rooms, but if you go in the rooms there is no one to be found, but often strange things written on the chalk boards.",DC,4.2834715,-74.1753606
"Greenfield Village is known for: haunted by many ghosts in most of the homes, the most active are in Firestone Farm, and Webster home. A man committed suicide in the barn at the farm, and Webster is just unhappy.",Greenfield Village,42.3045592,-83.2199356
"Players Guild of Dearborn is known for: It's a local community theatre to which I belong. Pictures have been taken of outlines of ghosts and it has been known to play tricks on members of The Guild. I have had a few encounters with the ghost. Hearing footsteps, when no one is around, and things moving around. At times, there is also a heavy breathing coming from stage Right.",Dearborn,42.3222599,-83.1763145
"Cass County – Anderson Grave Yard is known for: formerly listed under Van Buren County - this is where the Morris Family is buried at, who were murdered in there own home on Sept 29th 1879.it is said that if u go to the grave yard on this date the 29th of Sept, you can see Ester and Charles Morris, by there tombstone which is the only pillar stone under the only ever green trees in the center of the grave yard. -  March 2004 Update/Correction: Henry and Esther Morris did have a child, but he/she died in infancy several years before the murders. At the time she died Esther Morris was pregnant. And the maid was not killed; she was in the house asleep at the time. The Morrises lived in a house considered by the people of the time to be a mansion, and were considerably wealthy. Additionally the murderer didn't arrive on horseback as far as can be discerned, but he did steal the Morris' buggy pulling horse. The murders took place September 28, 1879. And Anderson cemetery is considered a part of Decatur since it is in Van Buren, not a part of Marcellus, which is in Cass County.",Cass County,33.0560857,-94.3510366
"Jefferson St. is known for: before the Tunnel to Canada - A little girl was hit by a car on a rainy day where the turn for the Tunnel to Canada is. She was stuck under the car and was knocking hoping that the driver would hear her, but he didn't. It is said that when you take that turn on a rainy day you can hear four knocks on the bottom of your car. These knocks belong to the little girl.",Canada,61.0666922,-107.991707
"Orchestra hall is known for: Ossip Gabrilowitsch, the Detroit symphony orchestra's Second Music Director (and Son in Law of author Samuel Clemens) Walks through his old office and rehearsal spaces in Detroit's Orchestra Hall. The hall was built as a prerequisite of Gabrilowitsch before he would lead the Detroit Symphony , and many maintenance and Security personnel still find his images walking around as if he were still the Music Director.",Orchestra,40.0153045,32.9087421
