Image,Cluster
/Users/kater/HauntedImages_8000/haunted_8000.png,0
/Users/kater/HauntedImages_8000/haunted_8001.png,0
/Users/kater/HauntedImages_8000/haunted_8002.png,2
/Users/kater/HauntedImages_8000/haunted_8003.png,2
/Users/kater/HauntedImages_8000/haunted_8004.png,0
/Users/kater/HauntedImages_8000/haunted_8005.png,0
/Users/kater/HauntedImages_8000/haunted_8006.png,0
/Users/kater/HauntedImages_8000/haunted_8007.png,0
/Users/kater/HauntedImages_8000/haunted_8008.png,0
/Users/kater/HauntedImages_8000/haunted_8009.png,0
/Users/kater/HauntedImages_8000/haunted_8010.png,0
/Users/kater/HauntedImages_8000/haunted_8011.png,2
/Users/kater/HauntedImages_8000/haunted_8012.png,2
/Users/kater/HauntedImages_8000/haunted_8013.png,2
/Users/kater/HauntedImages_8000/haunted_8015.png,2
/Users/kater/HauntedImages_8000/haunted_8016.png,2
/Users/kater/HauntedImages_8000/haunted_8017.png,1
/Users/kater/HauntedImages_8000/haunted_8018.png,1
/Users/kater/HauntedImages_8000/haunted_8019.png,2
/Users/kater/HauntedImages_8000/haunted_8020.png,0
/Users/kater/HauntedImages_8000/haunted_8021.png,0
/Users/kater/HauntedImages_8000/haunted_8022.png,0
/Users/kater/HauntedImages_8000/haunted_8023.png,0
/Users/kater/HauntedImages_8000/haunted_8024.png,2
/Users/kater/HauntedImages_8000/haunted_8025.png,0
/Users/kater/HauntedImages_8000/haunted_8026.png,0
/Users/kater/HauntedImages_8000/haunted_8027.png,0
/Users/kater/HauntedImages_8000/haunted_8028.png,2
/Users/kater/HauntedImages_8000/haunted_8030.png,0
/Users/kater/HauntedImages_8000/haunted_8031.png,2
/Users/kater/HauntedImages_8000/haunted_8033.png,2
/Users/kater/HauntedImages_8000/haunted_8034.png,0
/Users/kater/HauntedImages_8000/haunted_8035.png,0
/Users/kater/HauntedImages_8000/haunted_8036.png,0
/Users/kater/HauntedImages_8000/haunted_8037.png,0
/Users/kater/HauntedImages_8000/haunted_8038.png,2
/Users/kater/HauntedImages_8000/haunted_8039.png,0
/Users/kater/HauntedImages_8000/haunted_8040.png,2
/Users/kater/HauntedImages_8000/haunted_8041.png,0
/Users/kater/HauntedImages_8000/haunted_8042.png,0
/Users/kater/HauntedImages_8000/haunted_8043.png,0
/Users/kater/HauntedImages_8000/haunted_8045.png,2
/Users/kater/HauntedImages_8000/haunted_8046.png,0
/Users/kater/HauntedImages_8000/haunted_8047.png,2
/Users/kater/HauntedImages_8000/haunted_8048.png,0
/Users/kater/HauntedImages_8000/haunted_8049.png,1
/Users/kater/HauntedImages_8000/haunted_8050.png,0
/Users/kater/HauntedImages_8000/haunted_8051.png,2
/Users/kater/HauntedImages_8000/haunted_8052.png,0
/Users/kater/HauntedImages_8000/haunted_8053.png,2
/Users/kater/HauntedImages_8000/haunted_8054.png,2
/Users/kater/HauntedImages_8000/haunted_8055.png,0
/Users/kater/HauntedImages_8000/haunted_8056.png,2
/Users/kater/HauntedImages_8000/haunted_8057.png,2
